posicao,apelido,data,texto,idioma,pais,latitude,longitude,sigla,lugar,resumo
0,tsfradio,2020-03-10 14:05:04,covid-19: parlamento espanhol suspende sessão depois de deputado dar positivo https://t.co/m9c979jbuj em… https://t.co/nl3vokilee,pt,portugal,-9.09904258,38.74751841,PT,lisbon
1,jonasmelloshow,2020-03-21 23:52:29,"parlamentar do ceará ajudando no combate ao coronavírus

o deputado estadual danniel oliveira (mdb/ce), destinou to… https://t.co/jnkhnqxwxr",pt,brazil,-38.53946432,-3.72295722,BR,fortaleza
2,oxxarope,2020-03-31 17:19:28,o deputado federal ronaldo carletto (pp) apresentou um pacote de medidas que considera essenciais para conter o nov… https://t.co/kxmsoe9em1,pt,brazil,-41.69,-12.52,BR,seabra
3,jornaldopovao,2020-04-04 01:11:23,"coronavírus - apresentamos com o deputado elismar prado algumas medidas urgentes.
#acompanheefiscalize… https://t.co/bld55fllvv",pt,brazil,-43.9387,-19.9191,BR,belo horizonte
4,idelfonso65,2020-04-08 21:30:34,só pra avisar o deputado dr vitor que já são 107 casos confirmados e o estado do amapá em alerta vermelha. será hor… https://t.co/elzt1kaont,pt,brazil,-52.51697833,-0.83609533,BR,laranjal do jari
5,oxxarope,2020-04-09 21:40:49,"em discurso protocolado na câmara dos deputados nesta quinta-feira, dia 09 de abril, o deputado federal ronaldo car… https://t.co/5yrfinjs82",pt,brazil,-41.69,-12.52,BR,seabra
6,serjao_blog,2020-05-24 18:52:29,"adiar as eleições em tempos de coronavirus é o mais sensato, para salvar vidas. parabéns deputado arthur pela inici… https://t.co/pm7ayxse00",pt,brazil,-35.7242631,-9.6253662,BR,maceió
7,cristianoriceli,2020-05-27 19:43:36,"o presidente da assembleia legislativa, deputado adriano galdino, vai debater a reabertura do comércio, indústrias… https://t.co/3gphk46azm",pt,brazil,-34.8627,-7.1207,BR,joão pessoa
8,henriquesantobr,2020-05-27 22:16:29,"aprovado na câmara dos deputados a pl 1179/2020 relatado pelo advogado e deputado enrico misasi, pra dar segurança… https://t.co/zvdt8yvyhg",pt,brazil,-34.9257,-8.0605,BR,recife
9,luizinhoregadas,2020-05-30 18:38:03,"o deputado federal de pernambuco, humberto costa (pt) acusou o governo do jair bolsonaro pelo alto índice de morte… https://t.co/iovuhrjqhc",pt,brazil,-38.5266,-3.7293,BR,fortaleza
10,danielaguiarma,2020-06-01 01:05:51,"deputado estadual leonardo sá testa positivo para covid-19.

•nota oficial•
venho por meio desta, comunicar de form… https://t.co/b4nx2zytup",pt,brazil,-44.17074156,-2.5403689999999997,BR,paço do lumiar
11,videres2,2020-06-02 01:03:00,"legislativo

deputado alerta para import ncia de comprar no comércio local

o avanço do coronavírus (covid-19) no p… https://t.co/bjgkbmopzx",pt,brazil,-38.2314276,-6.7750381,BR,sousa
